,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Title,SKU,Medium,Subject,Publication,url,File,Category,shanghai_p,paris_p
185,233,239,239,egrets-chen-wen-hsi,493,Chinese Ink on Paper,Heron,"
Chen Wen Hsi Retrospective 1982",https://chenwenhsi.com/wp-content/uploads/2017/08/egrets-chen-wen-hsi.jpg,images/egrets-chen-wen-hsi.jpg,1,0.3122968158421703,0.6877031841578297
194,248,255,255,koi-fish-chenwenhsi,1034,Chinese Ink on Paper,Koi Fish,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/09/koi-fish-chenwenhsi.jpg,images/koi-fish-chenwenhsi.jpg,1,0.3089928903149496,0.6910071096850505
203,257,264,264,chen-wen-hsi-landscape,1206,Chinese Ink on Paper,Landscape,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-landscape.jpg,images/chen-wen-hsi-landscape.jpg,1,0.2968973397503266,0.7031026602496734
209,264,272,272,landscape-chen-wen-hsi-1,1014,Chinese Ink on Paper,Landscape,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/09/landscape-chen-wen-hsi-1.jpg,images/landscape-chen-wen-hsi-1.jpg,1,0.2654858723275115,0.7345141276724885
210,265,274,274,chen-wen-hsi-landscape-4,1272,Chinese Ink on Paper,Landscape,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-landscape-4.jpg,images/chen-wen-hsi-landscape-4.jpg,1,0.2445960492127314,0.7554039507872685
211,266,275,275,master-of-tradition-revolution-landscape-with-boats,1651,Chinese Ink on Paper,Landscape,"
Master of Tradition & Revolution",https://chenwenhsi.com/wp-content/uploads/2018/01/master-of-tradition-revolution-landscape-with-boats.jpg,images/master-of-tradition-revolution-landscape-with-boats.jpg,1,0.2774052685421854,0.7225947314578145
239,316,325,325,chen-wen-hsi-chickens-1,1403,Chinese Ink on Paper,Chicken,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-chickens-1.jpg,images/chen-wen-hsi-chickens-1.jpg,1,0.3159049746378201,0.6840950253621799
244,323,332,332,scene-at-hualian,483,Chinese Ink on Paper,Landscape,"
Chen Wen Hsi Retrospective 1982",https://chenwenhsi.com/wp-content/uploads/2017/08/scene-at-hualian.jpg,images/scene-at-hualian.jpg,1,0.3031368096481869,0.696863190351813
256,347,356,356,sparrow-chen-wen-hsi,1659,Chinese Ink on Paper,Sparrow,Not in a publication,https://chenwenhsi.com/wp-content/uploads/2018/08/sparrow-chen-wen-hsi.jpg,images/sparrow-chen-wen-hsi.jpg,1,0.3092992943338616,0.6907007056661385
266,357,366,366,chen-wen-hsi-sparrows-5,1419,Chinese Ink on Paper,Sparrow,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-sparrows-5.jpg,images/chen-wen-hsi-sparrows-5.jpg,1,0.2863850624552246,0.7136149375447753
277,399,408,408,master-of-tradition-revolution-gibbons,1575,Chinese Ink on Paper,Gibbon,"
Master of Tradition & Revolution",https://chenwenhsi.com/wp-content/uploads/2018/01/master-of-tradition-revolution-gibbons.jpg,images/master-of-tradition-revolution-gibbons.jpg,1,0.3030456441704926,0.6969543558295075
