,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Title,SKU,Medium,Subject,Publication,url,File,Category,shanghai_p,paris_p
179,227,232,232,chen-wen-hsi-egrets-10,1409,Chinese Ink on Paper,Heron,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-egrets-10.jpg,images/chen-wen-hsi-egrets-10.jpg,0,0.5408097952313116,0.4591902047686884
182,230,236,236,chen-wen-hsi-egrets-1,1244,Chinese Ink on Paper,Heron,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-egrets-1.jpg,images/chen-wen-hsi-egrets-1.jpg,0,0.5223189442879643,0.4776810557120355
192,245,252,252,intimates,750,Chinese Ink on Paper,Heron,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/intimates.jpg,images/intimates.jpg,0,0.5415896558440199,0.4584103441559801
199,253,260,260,chen-wen-hsi-landscape-9,1401,Chinese Ink on Paper,Landscape,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-landscape-9.jpg,images/chen-wen-hsi-landscape-9.jpg,0,0.5099388852777502,0.4900611147222498
201,255,262,262,chen-wen-hsi-landscape-10,1425,Chinese Ink on Paper,Landscape,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-landscape-10.jpg,images/chen-wen-hsi-landscape-10.jpg,0,0.5241559055739802,0.4758440944260197
205,259,266,266,chen-wen-hsi-landscape-2,1217,Chinese Ink on Paper,Landscape,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-landscape-2.jpg,images/chen-wen-hsi-landscape-2.jpg,0,0.5305035954157813,0.4694964045842185
227,282,291,291,morning-bath,485,Chinese Ink on Paper,Heron,"
Chen Wen Hsi Retrospective 1982",https://chenwenhsi.com/wp-content/uploads/2017/08/morning-bath.jpg,images/morning-bath.jpg,0,0.5157052224227338,0.4842947775772662
243,321,330,330,roaming,668,Chinese Ink on Paper,Heron,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/roaming.jpg,images/roaming.jpg,0,0.5125464224829122,0.4874535775170879
245,324,333,333,master-of-tradition-revolution-landscape-2,1644,Chinese Ink on Paper,Landscape,"
Master of Tradition & Revolution",https://chenwenhsi.com/wp-content/uploads/2018/01/master-of-tradition-revolution-landscape-2.jpg,images/master-of-tradition-revolution-landscape-2.jpg,0,0.5203491195628854,0.4796508804371144
283,420,429,429,master-of-tradition-revolution-two-ducks,1571,Chinese Ink on Paper,Duck,"
Master of Tradition & Revolution",https://chenwenhsi.com/wp-content/uploads/2018/01/master-of-tradition-revolution-two-ducks.jpg,images/master-of-tradition-revolution-two-ducks.jpg,0,0.5210899615933796,0.4789100384066203
