,Unnamed: 0,Title,SKU,Medium,Subject,Publication,url,File
278,278,loofah-sparrow,698,Chinese Ink on Paper,Sparrow,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/loofah-sparrow.jpg,images/loofah-sparrow.jpg
279,279,chen-wen-hsi-chicken,1221,Chinese Ink on Paper,Chicken,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-chicken.jpg,images/chen-wen-hsi-chicken.jpg
280,280,looking-up-chen-wen-hsi,205,Chinese Ink on Paper,Heron,"
A Dialogue With Tradition",https://chenwenhsi.com/wp-content/uploads/2017/07/looking-up-chen-wen-hsi.jpg,images/looking-up-chen-wen-hsi.jpg
281,281,chenwenhsi-lotus,1064,Chinese Ink on Paper,Koi Fish,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/09/chenwenhsi-lotus.jpg,images/chenwenhsi-lotus.jpg
282,282,chen-wen-hsi-lotus,1258,Chinese Ink on Paper,Lotus,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-lotus.jpg,images/chen-wen-hsi-lotus.jpg
283,283,lotus-cwh-1,491,Chinese Ink on Paper,Lotus,"
Chen Wen Hsi Retrospective 1982",https://chenwenhsi.com/wp-content/uploads/2017/08/lotus-cwh-1.jpg,images/lotus-cwh-1.jpg
284,284,chen-wen-hsi-lotus-and-birds,1252,Chinese Ink on Paper,Lotus,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-lotus-and-birds.jpg,images/chen-wen-hsi-lotus-and-birds.jpg
285,285,lotus-bloom,562,Chinese Ink on Paper,Lotus,"
A Dialogue With Tradition",https://chenwenhsi.com/wp-content/uploads/2017/08/lotus-bloom.jpg,images/lotus-bloom.jpg
286,286,lotus-chen-wen-hsi,566,Chinese Ink on Paper,Lotus,"
A Dialogue With Tradition",https://chenwenhsi.com/wp-content/uploads/2017/08/lotus-chen-wen-hsi.jpg,images/lotus-chen-wen-hsi.jpg
287,287,master-of-tradition-revolution-lotus-pond,1626,Chinese Ink on Paper,Lotus,"
Master of Tradition & Revolution",https://chenwenhsi.com/wp-content/uploads/2018/01/master-of-tradition-revolution-lotus-pond.jpg,images/master-of-tradition-revolution-lotus-pond.jpg
288,288,lotus-pond-raining,756,Chinese Ink on Paper,Lotus,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/lotus-pond-raining.jpg,images/lotus-pond-raining.jpg
289,289,lotus-after-shower,648,Chinese Ink on Paper,Lotus,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/lotus-after-shower.jpg,images/lotus-after-shower.jpg
290,290,lovers-cwh,684,Chinese Ink on Paper,Duck,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/lovers-cwh.jpg,images/lovers-cwh.jpg
291,291,morning-bath,485,Chinese Ink on Paper,Heron,"
Chen Wen Hsi Retrospective 1982",https://chenwenhsi.com/wp-content/uploads/2017/08/morning-bath.jpg,images/morning-bath.jpg
292,292,morning-squirrels,479,Chinese Ink on Paper,Squirrel,"
Chen Wen Hsi Retrospective 1982",https://chenwenhsi.com/wp-content/uploads/2017/08/morning-squirrels.jpg,images/morning-squirrels.jpg
293,293,motherly-love,542,Chinese Ink on Paper,Crane,"
A Dialogue With Tradition",https://chenwenhsi.com/wp-content/uploads/2017/08/motherly-love.jpg,images/motherly-love.jpg
294,294,mothers-love,628,Oil on Canvas,Abstract,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/mothers-love.jpg,images/mothers-love.jpg
295,295,mountain-range,692,Chinese Ink on Paper,Landscape,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/mountain-range.jpg,images/mountain-range.jpg
296,296,net-drying-chen-wen-hsi,982,Mixed Media on Paper,Village / Kampong,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/09/net-drying-chen-wen-hsi.jpg,images/net-drying-chen-wen-hsi.jpg
297,297,nets-drying,988,Oil on Canvas,Village / Kampong,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/09/nets-drying.jpg,images/nets-drying.jpg
298,298,noon-chen-wen-hsi,509,Chinese Ink on Paper,Gibbon,"
A Dialogue With Tradition",https://chenwenhsi.com/wp-content/uploads/2017/08/noon-chen-wen-hsi.jpg,images/noon-chen-wen-hsi.jpg
299,299,chen-wen-hsi-women,962,Charcoal Pastel on Paper,Nude,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/09/chen-wen-hsi-women.jpg,images/chen-wen-hsi-women.jpg
300,300,chen-wen-hsi-women-2,964,Charcoal Pastel on Paper,Nude,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/09/chen-wen-hsi-women-2.jpg,images/chen-wen-hsi-women-2.jpg
301,301,chen-wen-hsi-women-3,966,Charcoal Pastel on Paper,Nude,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/09/chen-wen-hsi-women-3.jpg,images/chen-wen-hsi-women-3.jpg
302,302,chen-wen-hsi-women-4,968,Charcoal Pastel on Paper,Nude,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/09/chen-wen-hsi-women-4.jpg,images/chen-wen-hsi-women-4.jpg
303,303,oasis-1972,453,Oil on Canvas,Abstract,"
Chen Wen Hsi Retrospective 1982, Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/oasis-1972.jpg,images/oasis-1972.jpg
304,304,pair-of-herons,656,Chinese Ink on Paper,Heron,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/pair-of-herons.jpg,images/pair-of-herons.jpg
305,305,pattern,634,Oil on Canvas,Abstract,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/pattern.jpg,images/pattern.jpg
